round	timestamp	seeds_tried	extensions_found	kept_above_threshold	total_deep_chains	elapsed_s
368	2026-03-30T13:09:59.028148	20	114	95	100	0.1
369	2026-03-30T13:09:59.097727	20	30	22	100	0.0
370	2026-03-30T13:09:59.176950	20	159	80	100	0.0
371	2026-03-30T13:09:59.195989	20	0	0	100	0.0
372	2026-03-30T13:09:59.257196	20	121	92	100	0.0
373	2026-03-30T13:09:59.319957	20	192	145	100	0.0
374	2026-03-30T13:09:59.351159	20	42	29	100	0.0
375	2026-03-30T13:09:59.373586	20	230	9	100	0.0
376	2026-03-30T13:09:59.395280	20	43	20	100	0.0
377	2026-03-30T13:09:59.424900	20	44	27	100	0.0
378	2026-03-30T13:09:59.721920	20	175	126	100	0.3
379	2026-03-30T13:09:59.786829	20	70	69	100	0.0
380	2026-03-30T13:09:59.836428	20	98	20	100	0.0
381	2026-03-30T13:09:59.993182	20	148	106	100	0.1
382	2026-03-30T13:10:00.044521	20	55	38	100	0.0
383	2026-03-30T13:10:00.067918	20	0	0	100	0.0
384	2026-03-30T13:10:00.139684	20	29	23	100	0.0
385	2026-03-30T13:10:00.251291	20	180	97	100	0.1
386	2026-03-30T13:10:00.414912	20	190	139	100	0.1
387	2026-03-30T13:10:00.461899	20	79	9	100	0.0
388	2026-03-30T13:10:00.559952	20	144	70	100	0.1
389	2026-03-30T13:10:00.626134	20	84	74	100	0.1
390	2026-03-30T13:10:00.674646	20	111	90	100	0.0
391	2026-03-30T13:10:00.735629	20	173	118	100	0.0
392	2026-03-30T13:10:00.885971	20	269	228	100	0.1
393	2026-03-30T13:10:00.941783	20	57	29	100	0.0
394	2026-03-30T13:10:01.074251	20	97	77	100	0.1
395	2026-03-30T13:10:01.103241	20	43	21	100	0.0
396	2026-03-30T13:10:01.134267	20	189	156	100	0.0
397	2026-03-30T13:10:01.162114	20	59	25	100	0.0
398	2026-03-30T13:10:01.184453	20	82	21	100	0.0
399	2026-03-30T13:10:01.233152	20	161	66	100	0.0
400	2026-03-30T13:10:01.279513	20	14	9	100	0.0
401	2026-03-30T13:10:01.368069	20	45	33	100	0.1
402	2026-03-30T13:10:01.433898	20	92	77	100	0.0
403	2026-03-30T13:10:01.499765	20	173	147	100	0.0
